SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
BIRLACORPN,EQ,1484,1488.95,1474.95,1487.35,1486,1474.95,13448,19957201.7,18-MAY-2024,1180,INE340A01012,
BIRLAMONEY,EQ,134.5,136.9,130.1,131.8,131.75,131.85,49016,6494467.9,18-MAY-2024,672,INE865C01022,
BLAL,EQ,256,263.2,252.2,256.45,257.8,255.65,197734,51308971.85,18-MAY-2024,3265,INE0N7W01012,
BLBLIMITED,BE,20.6,20.6,19.75,20.15,20.15,20.15,15309,310337.15,18-MAY-2024,75,INE791A01024,
BLISSGVS,EQ,110.15,111.7,109.35,110.4,110.75,109.35,51468,5708678.15,18-MAY-2024,736,INE416D01022,
BLKASHYAP,EQ,63.9,64.9,63.85,64.45,64.6,63.85,208191,13426877.9,18-MAY-2024,538,INE350H01032,
BLS,EQ,317.8,321.45,317,318.3,318.4,316.25,146383,46753105.45,18-MAY-2024,12078,INE153T01027,
BLSE,EQ,279.9,281,274,277.55,276,278.15,66718,18556683.85,18-MAY-2024,2181,INE0NLT01010,
BLUECHIP,BE,3.45,3.45,3.45,3.45,3.45,3.4,3023,10429.35,18-MAY-2024,9,INE657B01025,
BLUEDART,EQ,7216.8,7245,7129.65,7159,7158,7216.8,1110,7961774.7,18-MAY-2024,335,INE233B01017,
BLUEJET,EQ,365,370.05,362.9,367.85,368,362.55,11599,4257336,18-MAY-2024,374,INE0KBH01020,
BLUEPEBBLE,SM,270.75,279,269.95,273.9,277,270.75,14400,3937320,18-MAY-2024,18,INE0SAK01011,
BLUESTARCO,EQ,1582.9,1609,1570,1593.25,1597.7,1583.1,23572,37595052.1,18-MAY-2024,2890,INE472A01039,
BMETRICS,SM,212.85,212.85,211.9,212.85,212.85,202.75,16400,3487500,18-MAY-2024,41,INE0I3Y01014,
BODALCHEM,EQ,74.5,74.95,72.3,73.75,74.45,74.1,118177,8707656.1,18-MAY-2024,1102,INE338D01028,
BOHRAIND,BE,20.95,21.1,20,21.1,21.1,20.1,21050,443604.55,18-MAY-2024,62,INE802W01023,
BOMDYEING,EQ,180.7,187.5,179.1,186.45,186.7,180.1,987667,182741088.9,18-MAY-2024,10977,INE032A01023,
BOROLTD,EQ,365.7,366.7,360.25,365.65,364.35,365.3,18076,6584033.5,18-MAY-2024,857,INE02PY01013,
BORORENEW,EQ,503.7,506.35,501.3,503.25,502.8,502.05,51640,26032115.2,18-MAY-2024,2620,INE666D01022,
BOSCHLTD,EQ,31027.75,31262.3,30501,30779.3,30750,31027.75,3029,93624511.5,18-MAY-2024,1128,INE323A01026,
BPCL,EQ,629,630.55,627,629,628.6,628.3,518349,326062874.9,18-MAY-2024,9733,INE029A01011,
BPL,EQ,107.15,108.95,106,107.7,107.95,106.75,61446,6623539,18-MAY-2024,640,INE110A01019,
BRIGADE,EQ,1197,1211,1180,1195.3,1190,1190.45,43398,51971596.4,18-MAY-2024,3146,INE791I01019,
BRIGHT,SM,8.9,9,8.9,9,8.9,8.65,75000,673350,18-MAY-2024,24,INE684Z01010,
BRITANNIA,EQ,5090.15,5114.75,5040.1,5096.05,5109.95,5086.8,12240,62316978.1,18-MAY-2024,2525,INE216A01030,
BRNL,BE,65.55,67.1,65.55,67.1,67,63.95,79315,5291925.35,18-MAY-2024,873,INE727S01012,
BROOKS,BE,91.5,91.5,88.7,90.45,91.5,91.4,21981,1978264.15,18-MAY-2024,123,INE650L01011,
BSE,EQ,2794.3,2819.9,2788,2794.25,2796.5,2783,111719,312824256.95,18-MAY-2024,7240,INE118H01025,
BSE500IETF,EQ,35.4,36.25,34.93,35.48,35.44,35.33,25297,898772.35,18-MAY-2024,226,INF109KC1V59,
BSHSL,EQ,217,217,208.05,213,213,212.05,2662,567664.25,18-MAY-2024,109,INE032Z01020,
BSL,EQ,181.8,182,179.4,181.6,181,178.1,2774,503896.7,18-MAY-2024,51,INE594B01012,
BSLGOLDETF,EQ,65.68,66.45,64.64,66.07,66.25,65.56,20854,1374435.51,18-MAY-2024,136,INF209KB18D3,
BSLNIFTY,EQ,25.74,25.8,25.5,25.72,25.76,25.6,30618,786633.81,18-MAY-2024,752,INF209KB19D1,
BSLSENETFG,EQ,73.97,73.97,71.8,72.93,72.94,72.71,108,7873.54,18-MAY-2024,16,INF209KB10E8,
BSOFT,EQ,612.95,617,610,614.15,616,610.7,170704,104742759.85,18-MAY-2024,4862,INE836A01035,
BTML,EQ,17.75,18.3,16.95,17.5,17.6,17.75,675671,11975038.85,18-MAY-2024,662,INE0EEJ01023,
BURNPUR,EQ,6.3,6.5,6,6.2,6.2,6.2,135174,843785.35,18-MAY-2024,223,INE817H01014,
BUTTERFLY,EQ,790,808.75,784.55,793,798.65,780.05,6562,5227549.85,18-MAY-2024,252,INE295F01017,
BVCL,EQ,55.95,56.85,52.75,56.05,56.85,54.15,3430,191679.55,18-MAY-2024,43,INE139I01011,
BYKE,EQ,73.25,76.45,72.05,74.4,74.15,73.45,34501,2563668.85,18-MAY-2024,257,INE319B01014,
CADSYS,ST,502.4,502.4,478.5,487,493.95,478.5,17500,8682300,18-MAY-2024,28,INE090Y01013,
CALSOFT,BE,15.8,15.8,15.7,15.7,15.7,15.25,1610,25282.2,18-MAY-2024,12,INE526B01014,
CAMLINFINE,EQ,100.45,101.25,99,100,99.9,99.95,64506,6465993.55,18-MAY-2024,998,INE052I01032,
CAMPUS,EQ,259.3,260,255.55,256.45,256.8,257.95,90510,23326425.75,18-MAY-2024,3139,INE278Y01022,
CAMS,EQ,3320,3349,3301,3316.95,3307,3313.7,17076,56750185.9,18-MAY-2024,2335,INE596I01012,
CANARYS,SM,57,58.6,56.3,57.55,57.95,57.25,84000,4807800,18-MAY-2024,21,INE0QG301017,
CANBK,EQ,114.2,114.9,114.05,114.5,114.5,113.8,5348843,611960309.8,18-MAY-2024,24867,INE476A01022,
CANFINHOME,EQ,763.45,764,755.15,758.35,757.15,757.75,23441,17789590.9,18-MAY-2024,1305,INE477A01020,
CANTABIL,EQ,210.45,214.6,209.95,213.4,214,208.7,25305,5385517.45,18-MAY-2024,1082,INE068L01024,
CAPACITE,EQ,297.25,302,295.35,299.6,300,296.2,183069,54907230.1,18-MAY-2024,2974,INE264T01014,
CAPITALSFB,EQ,341.75,347,338.1,343.4,344.05,334.9,12905,4418569.1,18-MAY-2024,1086,INE646H01017,
